,label
280619,positive
343023,positive
273761,positive
445139,positive
274243,positive
294594,positive
299395,positive
489550,positive
121044,positive
350813,positive
287245,positive
97064,positive
97452,positive
140338,positive
288579,positive
455634,positive
470374,positive
373688,positive
438260,positive
351342,positive
358025,positive
416278,positive
352448,positive
399587,positive
72499,positive
5086,positive
447359,positive
475050,positive
285455,positive
221431,positive
410249,positive
282501,positive
371641,positive
212296,positive
354995,positive
161484,positive
69272,positive
408157,positive
393573,positive
295129,positive
229540,positive
255787,positive
194270,positive
241081,positive
284320,positive
485737,positive
234339,positive
7601,positive
245692,positive
415127,positive
410174,positive
313850,positive
115858,positive
283293,positive
209926,positive
114818,positive
445749,positive
7790,positive
80710,positive
321997,positive
274163,positive
277445,positive
116552,positive
219886,positive
77674,positive
160758,positive
240016,positive
106309,positive
16879,positive
467175,positive
211175,positive
75677,positive
488031,positive
14770,positive
412468,positive
195306,positive
160185,positive
279685,positive
419700,positive
323733,positive
219127,positive
91,positive
116204,positive
351121,positive
150727,positive
386902,positive
313407,positive
1078,positive
377698,positive
462005,positive
186336,positive
408326,positive
74420,positive
402938,positive
257048,positive
432718,positive
199552,positive
413775,positive
193737,positive
384779,positive
992,positive
37528,positive
213664,positive
138908,positive
364498,positive
461856,positive
86389,positive
458187,positive
87639,positive
489644,positive
24920,positive
482056,positive
108589,positive
49361,positive
486751,positive
271625,positive
115109,positive
297102,positive
452867,positive
228408,positive
17653,positive
298012,positive
304860,positive
292953,positive
389510,positive
235636,positive
368921,positive
311100,positive
203082,positive
379482,positive
198242,positive
43656,positive
318463,positive
339678,positive
105274,positive
416294,positive
212488,positive
346705,positive
301662,positive
141597,positive
262476,positive
198827,positive
162815,positive
211977,positive
368624,positive
83779,positive
20463,positive
422436,positive
157890,positive
162189,positive
35711,positive
11407,positive
150807,positive
139605,positive
15957,positive
24299,positive
40437,positive
284782,positive
228340,positive
373880,positive
95874,positive
246133,positive
293694,positive
477091,positive
289320,positive
255011,positive
45815,positive
388690,positive
89590,positive
215726,positive
285602,positive
87931,positive
415491,positive
421601,positive
106874,positive
396676,positive
121621,positive
362616,positive
476441,positive
490212,positive
44658,positive
26473,positive
230607,positive
422077,positive
21224,positive
402374,positive
99032,positive
307284,positive
444625,positive
2904,positive
149616,positive
160344,positive
104566,positive
49136,positive
265353,positive
231561,positive
134427,positive
490213,positive
331719,positive
283826,positive
240232,positive
493109,positive
300878,positive
452308,positive
475389,positive
94623,positive
481567,positive
490992,positive
186328,positive
237910,positive
225148,positive
133451,positive
78355,positive
429296,positive
105907,positive
124436,positive
108846,positive
137452,positive
451191,positive
400424,positive
301532,positive
218107,positive
4039,positive
471742,positive
39223,positive
32237,positive
143687,positive
291991,positive
367311,positive
417430,positive
83306,positive
340307,positive
136118,positive
489865,positive
311551,positive
118768,positive
51587,positive
134824,positive
369500,positive
159243,positive
458757,positive
483948,positive
48788,positive
214226,positive
3308,positive
289916,positive
228683,positive
307034,positive
384812,positive
416239,positive
105366,positive
150364,positive
160688,positive
365389,positive
343359,positive
353137,positive
128661,positive
245761,positive
327832,positive
466890,positive
472767,positive
51307,positive
400890,positive
423450,positive
407522,positive
58841,positive
377785,positive
314993,positive
378419,positive
265420,positive
115894,positive
451198,positive
93023,positive
174513,positive
89122,positive
150222,positive
201728,positive
237466,positive
314874,positive
338931,positive
234734,positive
163365,positive
385578,positive
300900,positive
410810,positive
389384,positive
179910,positive
395807,positive
443723,positive
461691,positive
479365,positive
99208,positive
231665,positive
296223,positive
255927,positive
136320,positive
449858,positive
201847,positive
65716,positive
466970,positive
228798,positive
199104,positive
355784,positive
160394,positive
359571,positive
59970,positive
251848,positive
411,positive
60031,positive
182835,positive
377835,positive
383117,positive
484989,positive
488111,positive
371601,positive
371951,positive
391343,positive
345818,positive
32648,positive
306172,positive
56349,positive
109677,positive
232128,positive
487684,positive
402576,positive
312786,positive
122442,positive
371744,positive
21681,positive
267970,positive
479695,positive
332888,positive
151976,positive
441495,positive
25058,positive
138809,positive
348971,positive
192967,positive
338134,positive
304302,positive
143265,positive
203302,positive
32805,positive
309326,positive
481595,positive
62326,positive
218868,positive
165389,positive
405604,positive
333114,positive
428867,positive
88461,positive
339650,positive
50656,positive
402790,positive
241875,positive
370849,positive
415272,positive
402361,positive
61384,positive
199937,positive
145555,positive
141062,positive
101962,positive
332240,positive
131752,positive
302354,positive
339211,positive
438551,positive
297222,positive
23377,positive
151007,positive
268814,positive
484415,positive
454324,positive
437826,positive
204750,positive
455004,positive
316983,positive
435812,positive
444215,positive
134677,positive
13367,positive
139835,positive
357476,positive
170654,positive
144199,positive
260425,positive
486450,positive
453427,positive
415825,positive
348130,positive
30389,positive
181847,positive
478607,positive
46958,positive
76611,positive
167223,positive
248060,positive
431313,positive
436146,positive
350089,positive
363245,positive
31229,positive
396138,positive
465628,positive
277996,positive
177503,positive
243801,positive
104030,positive
188117,positive
474208,positive
412267,positive
183049,positive
267917,positive
463405,positive
133752,positive
13069,positive
202140,positive
353398,positive
200565,positive
182748,positive
349800,positive
485514,positive
114868,positive
1499,positive
155246,positive
424117,positive
251347,positive
467212,positive
338032,positive
171969,positive
330367,positive
190012,positive
449375,positive
93007,positive
214601,positive
262665,positive
372717,positive
324838,positive
389894,positive
218746,positive
373038,positive
50389,positive
367418,positive
306761,positive
447503,positive
174994,positive
435973,positive
24562,positive
236790,positive
182017,positive
71605,positive
487695,positive
232479,positive
117238,positive
383562,positive
182970,positive
330559,positive
308659,positive
270444,positive
122365,positive
134187,positive
244305,positive
360118,positive
360283,positive
245466,positive
310178,positive
136622,positive
390126,positive
235429,positive
337286,positive
20382,positive
393312,positive
399819,positive
232126,positive
435562,positive
152785,positive
447150,positive
101612,positive
120222,positive
174685,positive
33108,positive
262717,positive
459164,positive
396508,positive
485264,positive
305903,positive
477725,positive
135534,positive
64899,positive
182537,positive
348767,positive
110306,positive
201872,positive
124725,positive
192339,positive
410799,positive
471107,positive
396465,positive
172754,positive
185750,positive
447426,positive
427608,positive
104435,positive
41578,positive
423001,positive
286014,positive
469357,positive
60121,positive
22496,positive
304782,positive
261547,positive
217941,positive
408253,positive
419250,positive
194168,positive
25106,positive
321375,positive
307057,positive
452550,positive
469662,positive
201791,positive
452932,positive
482011,positive
24828,positive
57551,positive
252522,positive
216465,positive
96218,positive
340198,positive
463816,positive
82541,positive
103573,positive
251056,positive
337445,positive
206502,positive
400140,positive
45278,positive
38876,positive
184077,positive
61990,positive
355246,positive
448624,positive
261648,positive
164718,positive
344849,positive
110742,positive
400419,positive
206155,positive
445900,positive
236215,positive
457473,positive
180458,positive
431373,positive
286310,positive
126380,positive
285121,positive
312997,positive
388899,positive
421725,positive
188610,positive
188267,positive
83270,positive
37469,positive
411435,positive
274855,positive
284869,positive
339355,positive
450648,positive
316593,positive
5282,positive
125035,positive
231169,positive
257296,positive
57263,positive
247778,positive
122440,positive
311294,positive
207594,positive
28724,positive
457119,positive
440051,positive
269333,positive
392421,positive
158212,positive
415693,positive
26244,positive
17605,positive
378374,positive
335539,positive
88097,positive
72185,positive
154060,positive
392685,positive
307024,positive
127614,positive
389131,positive
385430,positive
218443,positive
393017,positive
342083,positive
120806,positive
490044,positive
63928,positive
195296,positive
253715,positive
113067,positive
417413,positive
47193,positive
185700,positive
205461,positive
269305,positive
65416,positive
405524,positive
243546,positive
430109,positive
41328,positive
108631,positive
407687,positive
6931,positive
120490,positive
80199,positive
123800,positive
98923,positive
427996,positive
126925,positive
330386,positive
23625,positive
445239,positive
101975,positive
396818,positive
63739,positive
49118,positive
193713,positive
330255,positive
311958,positive
174609,positive
403686,positive
305285,positive
116774,positive
187199,positive
180036,positive
111004,positive
402347,positive
455518,positive
115914,positive
8140,positive
36130,positive
107171,positive
281250,positive
75748,positive
174584,positive
6009,positive
230427,positive
462202,positive
170894,positive
235397,positive
212886,positive
406290,positive
382846,positive
62544,positive
27635,positive
72199,positive
394446,positive
285611,positive
136061,positive
447702,positive
329461,positive
463407,positive
146118,positive
158745,positive
56727,positive
378356,positive
335335,positive
150001,positive
335062,positive
467194,positive
312131,positive
478663,positive
27085,positive
154366,positive
303029,positive
78257,positive
221447,positive
178167,positive
80632,positive
49569,positive
313406,positive
390042,positive
325571,positive
33927,positive
222720,positive
160833,positive
28325,positive
32147,positive
456190,positive
301715,positive
193094,positive
443444,positive
417459,positive
458041,positive
345288,positive
37628,positive
471961,positive
211883,positive
154803,positive
181549,positive
166773,positive
129918,positive
100640,positive
469100,positive
161053,positive
455947,positive
34749,positive
250078,positive
145511,positive
146210,positive
483064,positive
91101,positive
466689,positive
42762,positive
175955,positive
487215,positive
123409,positive
449394,positive
405252,positive
33249,positive
15448,positive
446234,positive
206801,positive
76680,positive
106648,positive
50934,positive
462834,positive
108358,positive
214980,positive
395492,positive
408047,positive
275438,positive
145702,positive
325969,positive
244956,positive
405064,positive
2378,positive
453032,positive
39106,positive
379194,positive
35046,positive
452577,positive
17754,positive
215114,positive
78151,positive
7998,positive
445393,positive
270617,positive
407474,positive
289044,positive
298235,positive
420734,positive
421946,positive
200523,positive
99034,positive
118187,positive
336275,positive
182333,positive
32876,positive
167202,positive
60843,positive
179955,positive
458637,positive
312930,positive
298807,positive
248831,positive
197954,positive
262632,positive
137690,positive
303595,positive
15219,positive
188907,positive
366718,positive
10180,positive
14353,positive
319494,positive
403619,positive
283820,positive
6215,positive
309421,positive
462560,positive
393314,positive
396698,positive
22454,positive
368709,positive
313635,positive
367869,positive
416834,positive
228594,positive
221166,positive
210537,positive
271574,positive
255499,positive
369621,positive
452751,positive
378264,positive
426076,positive
241738,positive
16194,positive
368437,positive
347365,positive
241575,positive
227963,positive
37421,positive
94381,positive
399678,positive
71749,positive
363685,positive
415585,positive
215651,positive
34751,positive
38761,positive
335274,positive
232913,positive
261434,positive
293925,positive
53409,positive
361693,positive
372687,positive
121176,positive
158250,positive
4971,positive
370830,positive
224807,positive
310791,positive
316128,positive
306600,positive
274109,positive
76281,positive
273479,positive
9704,positive
72351,positive
223006,positive
445363,positive
131359,positive
405443,positive
205181,positive
334857,positive
413595,positive
97539,positive
7731,positive
284873,positive
409640,positive
176835,positive
213387,positive
202385,positive
224503,positive
10456,positive
107971,positive
455125,positive
21404,positive
478041,positive
458192,positive
213327,positive
139019,positive
210677,positive
337727,positive
354892,positive
241042,positive
374330,positive
311050,positive
21768,positive
74547,positive
410209,positive
48926,positive
216467,positive
185250,positive
470022,positive
429365,positive
202260,positive
21331,positive
70601,positive
49555,positive
94308,positive
74296,positive
478905,positive
303372,positive
203348,positive
69759,positive
18550,positive
310672,positive
252533,positive
121697,positive
14525,positive
411479,positive
458094,positive
93159,positive
81425,positive
285940,positive
419850,positive
116818,positive
247953,positive
92157,positive
460040,positive
178980,positive
40946,positive
266863,positive
386620,positive
133499,positive
469615,positive
362894,positive
258429,positive
265297,positive
296857,positive
309823,positive
427840,positive
381294,positive
235691,positive
102748,positive
127592,positive
356399,positive
340074,positive
127282,positive
384538,positive
64613,positive
172051,positive
462372,positive
88189,positive
326840,positive
482407,positive
454144,positive
75486,positive
24475,positive
231857,positive
275392,positive
14446,positive
179019,positive
271570,positive
231075,positive
124856,positive
52464,positive
178617,positive
204407,positive
160216,positive
256199,positive
405281,positive
331744,positive
78275,positive
278942,positive
320440,positive
153497,positive
33578,positive
128229,positive
306502,positive
146947,positive
468742,positive
353044,positive
417731,positive
316651,positive
114240,positive
208137,positive
319051,positive
168601,positive
201759,positive
13827,positive
472243,positive
272525,positive
233268,positive
382345,positive
413192,positive
212264,positive
417486,positive
77181,positive
77362,positive
391253,positive
368534,positive
84568,positive
53105,positive
446121,positive
283581,positive
294694,positive
464839,positive
393490,positive
154405,positive
185588,positive
281300,positive
316050,positive
65075,positive
145881,positive
30288,positive
246682,positive
209596,positive
144324,positive
292015,positive
480210,positive
215144,positive
185879,positive
408385,positive
466113,positive
476885,positive
144367,positive
85586,positive
219758,positive
348827,positive
366720,positive
482374,positive
109310,positive
156367,positive
391864,positive
201154,positive
276090,positive
34861,positive
19290,positive
88381,positive
19427,positive
13688,positive
416929,positive
143315,positive
210411,positive
363884,positive
318305,positive
85770,positive
226260,positive
261335,positive
390371,positive
405642,positive
400691,positive
97540,positive
237501,positive
47239,positive
232216,positive
412937,positive
95533,positive
229064,positive
222776,positive
126567,positive
5158,positive
158387,positive
65527,positive
165364,positive
353916,positive
328501,positive
244708,positive
284851,positive
142253,positive
237109,positive
91099,positive
74619,positive
361661,positive
396577,positive
117080,positive
443098,positive
454688,positive
415522,positive
40494,positive
58106,positive
176522,positive
200416,positive
9924,positive
251634,positive
184162,positive
349633,positive
428716,positive
271462,positive
373035,positive
366909,positive
461245,positive
282740,positive
218042,positive
101758,positive
400207,positive
363936,positive
405379,positive
93038,positive
197535,positive
308939,positive
56912,positive
193751,positive
21225,positive
156698,positive
468124,positive
162314,positive
188273,positive
178983,positive
273323,positive
56260,positive
483150,positive
192741,positive
371330,positive
465529,positive
197772,positive
249924,positive
252628,positive
71476,positive
308321,positive
224516,positive
112825,positive
113933,positive
307483,positive
26062,positive
437721,positive
399538,positive
482967,positive
345766,positive
3736,positive
84943,positive
340632,positive
469869,positive
19576,positive
431090,positive
14311,positive
270988,positive
116605,positive
252787,positive
176632,positive
16707,positive
191866,positive
89911,positive
290184,positive
394732,positive
84790,positive
96874,positive
160238,positive
348927,positive
265466,positive
7203,positive
466817,positive
19359,positive
218493,positive
295741,positive
411641,positive
48235,positive
357586,positive
225854,positive
130734,positive
6368,positive
108508,positive
147884,positive
361026,positive
269214,positive
14927,positive
117881,positive
25785,positive
173932,positive
74291,positive
446118,positive
390651,positive
19391,positive
83943,positive
10810,positive
447636,positive
140156,positive
220536,positive
85874,positive
367928,positive
438066,positive
140106,positive
245553,positive
412629,positive
409841,positive
257258,positive
310464,positive
174860,positive
249936,positive
173422,positive
192321,positive
336667,positive
281255,positive
194612,positive
175029,positive
248176,positive
265750,positive
67643,positive
52109,positive
407616,positive
162204,positive
408873,positive
283637,positive
381348,positive
280695,positive
120929,positive
408717,positive
47295,positive
189252,positive
134481,positive
364276,positive
434037,positive
89657,positive
60072,positive
285129,positive
206201,positive
99168,positive
68629,positive
450503,positive
23896,positive
29873,positive
230910,positive
84034,positive
81617,positive
402091,positive
152334,positive
402250,positive
405152,positive
120989,positive
36206,positive
57885,positive
61524,positive
468347,positive
36147,positive
315648,positive
345109,positive
134191,positive
164804,positive
294202,positive
48094,positive
215845,positive
346267,positive
212989,positive
217957,positive
115363,positive
464259,positive
296246,positive
70864,positive
389808,positive
22025,positive
190700,positive
264802,positive
127066,positive
17598,positive
230080,positive
463082,positive
409100,positive
341721,positive
420432,positive
307292,positive
366418,positive
429798,positive
172836,positive
98375,positive
217620,positive
353895,positive
474849,positive
42578,positive
455407,positive
347630,positive
216604,positive
446339,positive
293265,positive
293795,positive
123732,positive
193090,positive
308351,positive
377928,positive
261446,positive
193810,positive
369384,positive
55756,positive
140643,positive
437093,positive
322474,positive
299327,positive
307760,positive
270049,positive
258924,positive
106192,positive
279886,positive
132720,positive
188865,positive
357826,positive
224713,positive
30857,positive
352168,positive
296862,positive
472981,positive
304165,positive
261667,positive
333914,positive
431564,positive
441758,positive
174060,positive
430810,positive
220181,positive
291770,positive
417340,positive
266112,positive
115645,positive
461391,positive
432295,positive
79183,positive
282354,positive
364289,positive
489982,positive
484266,positive
28151,positive
199181,positive
420406,positive
333714,positive
27286,positive
39513,positive
172847,positive
298374,positive
105101,positive
21172,positive
251953,positive
479886,positive
466161,positive
167811,positive
334945,positive
294187,positive
382385,positive
168645,positive
378519,positive
221728,positive
48226,positive
322230,positive
22458,positive
303397,positive
289762,positive
120441,positive
371348,positive
41541,positive
107242,positive
335754,positive
107694,positive
387747,positive
141653,positive
230360,positive
349738,positive
163791,positive
191630,positive
166388,positive
204455,positive
465944,positive
196589,positive
391845,positive
158951,positive
153942,positive
339895,positive
457709,positive
25247,positive
223671,positive
139810,positive
77976,positive
307659,positive
290314,positive
34019,positive
80291,positive
310933,positive
360579,positive
18724,positive
71929,positive
86023,positive
73998,positive
308580,positive
165782,positive
330690,positive
84860,positive
11989,positive
112358,positive
266174,positive
25499,positive
368164,positive
37195,positive
346944,positive
36943,positive
284545,positive
330447,positive
318111,positive
407023,positive
82407,positive
317480,positive
126031,positive
365485,positive
373536,positive
438183,positive
389898,positive
305549,positive
457913,positive
392249,positive
68958,positive
489988,positive
77681,positive
230352,positive
146183,positive
175927,positive
403295,positive
440752,positive
307097,positive
490984,positive
195888,positive
126773,positive
244319,positive
16873,positive
182059,positive
109155,positive
144763,positive
253431,positive
424590,positive
121753,positive
190611,positive
380660,positive
57727,positive
90014,positive
183656,positive
278277,positive
204660,positive
249250,positive
327895,positive
161087,positive
238938,positive
453893,positive
259103,positive
243044,positive
418852,positive
32301,positive
281170,positive
270441,positive
166461,positive
224894,positive
140403,positive
106879,positive
117875,positive
492631,positive
299153,positive
482782,positive
306787,positive
153112,positive
411961,positive
492621,positive
188528,positive
230504,positive
208781,positive
86993,positive
463206,positive
2915,positive
278567,positive
372597,positive
311821,positive
247335,positive
191680,positive
202206,positive
392916,positive
419833,positive
219388,positive
154582,positive
454587,positive
176408,positive
449151,positive
318573,positive
124203,positive
115136,positive
113556,positive
303973,positive
3617,positive
459668,positive
212827,positive
104656,positive
267100,positive
64686,positive
326967,positive
88845,positive
466901,positive
471696,positive
153566,positive
218377,positive
26034,positive
32818,positive
171853,positive
442924,positive
93556,positive
182203,positive
492836,positive
410333,positive
126970,positive
32845,positive
445785,positive
36517,positive
269201,positive
352494,positive
238104,positive
436071,positive
140542,positive
50187,positive
367821,positive
15489,positive
36572,positive
55900,positive
437056,positive
428945,positive
301989,positive
428627,positive
195083,positive
291287,positive
471900,positive
26019,positive
268761,positive
384370,positive
251165,positive
422016,positive
414404,positive
451361,positive
256450,positive
466631,positive
294251,positive
109368,positive
325818,positive
101263,positive
134159,positive
208742,positive
106798,positive
126974,positive
173784,positive
367768,positive
301658,positive
189920,positive
476735,positive
476228,positive
386240,positive
61260,positive
281608,positive
413690,positive
156904,positive
287451,positive
181210,positive
324105,positive
470951,positive
19061,positive
361136,positive
366895,positive
41448,positive
60673,positive
252647,positive
443476,positive
168494,positive
40474,positive
426406,positive
77384,positive
154348,positive
188678,positive
247396,positive
462435,positive
179816,positive
488691,positive
170362,positive
382163,positive
423849,positive
484070,positive
76256,positive
372417,positive
17211,positive
12176,positive
3816,positive
338163,positive
151170,positive
438395,positive
438548,positive
162000,positive
428343,positive
62480,positive
225605,positive
407255,positive
303630,positive
56403,positive
263883,positive
77914,positive
385666,positive
447852,positive
423332,positive
353034,positive
171729,positive
75088,positive
143159,positive
443364,positive
56570,positive
316513,positive
479716,positive
485451,positive
363746,positive
310854,positive
25229,positive
381752,positive
154944,positive
41032,positive
434594,positive
95137,positive
296973,positive
385586,positive
486050,positive
278613,positive
371805,positive
286871,positive
147483,positive
464228,positive
445994,positive
193951,positive
384291,positive
381237,positive
119898,positive
444795,positive
431045,positive
311328,positive
207077,positive
285434,positive
445396,positive
255630,positive
439848,positive
437800,positive
391442,positive
435020,positive
87066,positive
128985,positive
80895,positive
332176,positive
395884,positive
102023,positive
425501,positive
449347,positive
138645,positive
415637,positive
384433,positive
288462,positive
276628,positive
445466,positive
56698,positive
422485,positive
457780,positive
254823,positive
157599,positive
144570,positive
162447,positive
169092,positive
100524,positive
405836,positive
123103,positive
115650,positive
74443,positive
309482,positive
367990,positive
92212,positive
434540,positive
344152,positive
446683,positive
176552,positive
317662,positive
388100,positive
406434,positive
326773,positive
91957,positive
101773,positive
166171,positive
318438,positive
395540,positive
232884,positive
138744,positive
280962,positive
429153,positive
125172,positive
273995,positive
479565,positive
211422,positive
80417,positive
338733,positive
185477,positive
172001,positive
5193,positive
203963,positive
295583,positive
56285,positive
237564,positive
37234,positive
279707,positive
18952,positive
239870,positive
187658,positive
389782,positive
348429,positive
75947,positive
468448,positive
179915,positive
282459,positive
290467,positive
418750,positive
78554,positive
359038,positive
94599,positive
255851,positive
461598,positive
321027,positive
430172,positive
144276,positive
130477,positive
319792,positive
251303,positive
279931,positive
167178,positive
26323,positive
190052,positive
248441,positive
319835,positive
185853,positive
66326,positive
381947,positive
173794,positive
452189,positive
294599,positive
402413,positive
186298,positive
321191,positive
106316,positive
25326,positive
332567,positive
222346,positive
383745,positive
491492,positive
237442,positive
85924,positive
75718,positive
107504,positive
234229,positive
189675,positive
234283,positive
319260,positive
234217,positive
152910,positive
243848,positive
96358,positive
387951,positive
355973,positive
457721,positive
164014,positive
337269,positive
93529,positive
269064,positive
72270,positive
400385,positive
61841,positive
243393,positive
127159,positive
365016,positive
272921,positive
196462,positive
400183,positive
18789,positive
106764,positive
177953,positive
132426,positive
360811,positive
210901,positive
421199,positive
423007,positive
123389,positive
487387,positive
38454,positive
228275,positive
355206,positive
99558,positive
492669,positive
463347,positive
379362,positive
295877,positive
162984,positive
122422,positive
88137,positive
295502,positive
74663,positive
446322,positive
32056,positive
93713,positive
490720,positive
77013,positive
305696,positive
18649,positive
336488,positive
373275,positive
106520,positive
335031,positive
206963,positive
139878,positive
246719,positive
410098,positive
228348,positive
256367,positive
484152,positive
20075,positive
251004,positive
94709,positive
328322,positive
271743,positive
336267,positive
126329,positive
412765,positive
415093,positive
63200,positive
488058,positive
393126,positive
344443,positive
323407,positive
135250,positive
481974,positive
20506,positive
293444,positive
154441,positive
180830,positive
23095,positive
199422,positive
29102,positive
202175,positive
335667,positive
225922,positive
363109,positive
81092,positive
115643,positive
160602,positive
66758,positive
52137,positive
410672,positive
288678,positive
81225,positive
108452,positive
438919,positive
72788,positive
320330,positive
390301,positive
103050,positive
151320,positive
64535,positive
379111,positive
182482,positive
11927,positive
290112,positive
303880,positive
437747,positive
293440,positive
5800,positive
398331,positive
245777,positive
244709,positive
173676,positive
346626,positive
477829,positive
442638,positive
171628,positive
432172,positive
490429,positive
206558,positive
492082,positive
82295,positive
426174,positive
217861,positive
171581,positive
295186,positive
375298,positive
398358,positive
391770,positive
123977,positive
298405,positive
151339,positive
451152,positive
71784,positive
55599,positive
227811,positive
398525,positive
336541,positive
285930,positive
356614,positive
398574,positive
32402,positive
291060,positive
359141,positive
177007,positive
479167,positive
265572,positive
95462,positive
330724,positive
129188,positive
94723,positive
330799,positive
109980,positive
406535,positive
73488,positive
311259,positive
76822,positive
123405,positive
12654,positive
24285,positive
36220,positive
403776,positive
367265,positive
447656,positive
268667,positive
246777,positive
114412,positive
244591,positive
28069,positive
302439,positive
387205,positive
316332,positive
222229,positive
77009,positive
143494,positive
19784,positive
443482,positive
470239,positive
195961,positive
246052,positive
412697,positive
14623,positive
246640,positive
121527,positive
186433,positive
159654,positive
224574,positive
376202,positive
214752,positive
194905,positive
130627,positive
57788,positive
86510,positive
431652,positive
15605,positive
189353,positive
237851,positive
439661,positive
399299,positive
105446,positive
198315,positive
398728,positive
357861,positive
70558,positive
45831,positive
332919,positive
195328,positive
147344,positive
446300,positive
264911,positive
67029,positive
417308,positive
54090,positive
391033,positive
393236,positive
205330,positive
367807,positive
129493,positive
78516,positive
230236,positive
405220,positive
152506,positive
443592,positive
462422,positive
462668,positive
67197,positive
241946,positive
294003,positive
378804,positive
140820,positive
41547,positive
163053,positive
237082,positive
386962,positive
126368,positive
435089,positive
256100,positive
449199,positive
385232,positive
149831,positive
754,positive
247613,positive
85678,positive
203178,positive
170092,positive
406391,positive
203803,positive
489688,positive
316955,positive
318777,positive
17397,positive
437866,positive
153789,positive
343099,positive
203371,positive
434816,positive
372651,positive
223512,positive
240332,positive
166390,positive
307716,positive
203681,positive
391392,positive
164683,positive
408838,positive
167100,positive
81935,positive
245323,positive
408455,positive
219347,positive
288932,positive
228078,positive
81571,positive
281980,positive
186203,positive
222334,positive
362682,positive
22815,positive
203523,positive
228365,positive
147854,positive
33169,positive
67147,positive
444158,positive
265455,positive
249415,positive
196291,positive
279517,positive
114468,positive
366151,positive
224903,positive
331012,positive
53899,positive
169677,positive
378429,positive
273520,positive
260576,positive
455480,positive
198751,positive
401752,positive
157861,positive
335846,positive
154091,positive
243534,positive
365364,positive
203752,positive
285336,positive
224578,positive
429080,positive
5846,positive
90432,positive
131846,positive
218510,positive
4772,positive
375969,positive
428820,positive
189622,positive
489489,positive
7545,positive
90071,positive
175598,positive
131091,positive
242522,positive
348302,positive
214221,positive
30306,positive
309833,positive
298477,positive
134872,positive
307946,positive
251525,positive
223529,positive
65883,positive
340653,positive
189044,positive
480424,positive
